filename,brand_name,class_type,alcohol_content,net_contents
01_perfect_match_bourbon.jpg,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45% Alc./Vol. (90 Proof),750 mL
02_brand_casing_variant.jpg,Stone's Throw,American Craft Gin,42% Alc./Vol.,750 mL
03_warning_titlecase_fail.jpg,Harvest Moon Cidery,Hard Apple Cider,6% Alc./Vol.,500 mL
04_abv_mismatch.jpg,Coastal Point Distilling,Silver Rum,45% Alc./Vol.,750 mL
05_proof_notation_match.jpg,Redwood Whiskey Co.,Straight Rye Whiskey,45% Alc./Vol.,750 mL
06_net_contents_unit_variant.jpg,Blue Heron Brewing,Pilsner,5% Alc./Vol.,1000 mL
07_net_contents_mismatch.jpg,Irongate Distillery,London Dry Gin,47% Alc./Vol.,750 mL
08_brand_major_mismatch.jpg,Sagebrush Spirits Co.,Vodka,40% Alc./Vol.,750 mL
09_low_quality_blurry.jpg,Sundown Ridge Winery,Cabernet Sauvignon,13.5% Alc./Vol.,750 mL
10_wine_full_match.jpg,Sunset Ridge Vineyards,Chardonnay,13% Alc./Vol.,750 mL
11_beer_full_match.jpg,Hopyard Brewing Co.,India Pale Ale,6.2% Alc./Vol.,12 FL OZ
